document_id,query_id,round,user,position,Okapi,LM,TF,NormTF,LEN,FracStop,StopCover,ENT,BERT
ROUND-04-161_161_1_T-AFOPDT,161,4,AFOPDT,4,13.711829,-16.223886,15,10.183805,147,0.428571429,0.173184358,4.119898822,0.9997949
ROUND-04-161_161_1_T-XJJWBO,161,4,XJJWBO,1,13.216512,-16.832802,13,10.766306,144,0.430555556,0.156424581,4.1472063,0.999649525
ROUND-04-161_161_0_T-GZ4HPV,161,4,GZ4HPV,3,14.1813965,-15.348253,20,9.118801,138,0.362318841,0.122905028,3.919690898,0.999838591
ROUND-04-161_161_0_T-7KO86D,161,4,7KO86D,2,14.225087,-15.207085,21,8.775347,128,0.3671875,0.122905028,3.820096915,0.999822676
ROUND-04-161_161_1_T-XK862E,161,4,XK862E,3,14.131392,-15.290911,21,9.30332,152,0.388157895,0.167597765,4.125150632,0.999627352
ROUND-04-161_161_1_T-HK6IT5,161,4,HK6IT5,2,14.40016,-14.837326,24,8.829263,151,0.331125828,0.139664804,4.153160378,0.999791443
ROUND-05-161_161_1_T-XJJWBO,161,5,XJJWBO,1,13.216512,-16.832802,13,10.766306,144,0.430555556,0.156424581,4.1472063,0.999649525
ROUND-05-161_161_0_T-Z8LR6O,161,5,Z8LR6O,2,14.498068,-14.314418,29,8.070021,139,0.366906475,0.150837989,3.730432301,0.999836326
ROUND-05-161_161_1_T-AFOPDT,161,5,AFOPDT,4,13.711829,-16.223886,15,10.183805,147,0.428571429,0.173184358,4.119898822,0.9997949
ROUND-05-161_161_0_T-0RMWXM,161,5,0RMWXM,4,14.203764,-15.067503,22,8.242487,111,0.396396396,0.122905028,3.465387808,0.99982965
ROUND-05-161_161_0_T-GZ4HPV,161,5,GZ4HPV,3,14.357264,-14.97822,23,8.943413,149,0.348993289,0.122905028,3.958432966,0.999832988
ROUND-05-161_161_0_T-7KO86D,161,5,7KO86D,1,14.501591,-14.30122,29,7.9601173,134,0.380597015,0.150837989,3.657283248,0.999837756
ROUND-05-161_161_1_T-HK6IT5,161,5,HK6IT5,3,13.919857,-15.864008,17,9.847053,149,0.375838926,0.12849162,4.177055492,0.999772012
ROUND-05-161_161_1_T-XK862E,161,5,XK862E,2,14.311798,-14.891191,24,8.878054,151,0.40397351,0.167597765,4.041195979,0.999835849
ROUND-06-161_161_1_T-HK6IT5,161,6,HK6IT5,1,13.508846,-16.337585,15,10.149462,139,0.402877698,0.145251397,4.091233454,0.999700189
ROUND-06-161_161_0_T-0RMWXM,161,6,0RMWXM,4,14.203764,-15.067503,22,8.242487,111,0.396396396,0.122905028,3.465387808,0.99982965
ROUND-06-161_161_1_T-AFOPDT,161,6,AFOPDT,4,13.718941,-16.208153,15,10.058788,141,0.326241135,0.117318436,4.301234802,0.999851108
ROUND-06-161_161_0_T-Z8LR6O,161,6,Z8LR6O,3,13.894314,-15.664894,19,9.616359,148,0.445945946,0.184357542,4.074369722,0.999613225
ROUND-06-161_161_1_T-XJJWBO,161,6,XJJWBO,2,13.216512,-16.832802,13,10.766306,144,0.430555556,0.156424581,4.1472063,0.999649525
ROUND-06-161_161_0_T-7KO86D,161,6,7KO86D,1,14.501591,-14.30122,29,7.9601173,134,0.380597015,0.150837989,3.657283248,0.999837756
ROUND-06-161_161_1_T-XK862E,161,6,XK862E,3,14.311798,-14.891191,24,8.878054,151,0.40397351,0.167597765,4.041195979,0.999835849
ROUND-06-161_161_0_T-GZ4HPV,161,6,GZ4HPV,2,14.107938,-15.394599,20,9.02717,131,0.320610687,0.134078212,3.944029097,0.99983573
ROUND-07-161_161_0_T-GZ4HPV,161,7,GZ4HPV,2,14.107938,-15.394599,20,9.02717,131,0.320610687,0.134078212,3.944029097,0.99983573
ROUND-07-161_161_0_T-Z8LR6O,161,7,Z8LR6O,3,13.899054,-15.747103,17,8.341946,89,0.449438202,0.134078212,3.572621234,0.999670148
ROUND-07-161_161_0_T-7KO86D,161,7,7KO86D,1,14.501591,-14.30122,29,7.9601173,134,0.380597015,0.150837989,3.657283248,0.999837756
ROUND-07-161_161_1_T-AFOPDT,161,7,AFOPDT,3,11.933203,-17.58189,12,11.361315,134,0.380597015,0.139664804,4.122219416,0.99967134
ROUND-07-161_161_1_T-XK862E,161,7,XK862E,2,14.311798,-14.891191,24,8.878054,151,0.40397351,0.167597765,4.041195979,0.999835849
ROUND-07-161_161_1_T-HK6IT5,161,7,HK6IT5,1,13.508846,-16.337585,15,10.149462,139,0.402877698,0.145251397,4.091233454,0.999700189
ROUND-07-161_161_1_T-XJJWBO,161,7,XJJWBO,4,12.413616,-17.73617,10,11.689427,142,0.450704225,0.167597765,4.195841374,0.996280611
ROUND-07-161_161_0_T-0RMWXM,161,7,0RMWXM,4,13.654591,-16.041613,16,8.825349,95,0.410526316,0.122905028,3.541625625,0.999830127
ROUND-01-164_164_1_T-P8Y74G,164,1,P8Y74G,1,13.104591,-10.2575035,13,4.9987316,77,0.441558442,0.111731844,3.382118959,0.999446571
ROUND-01-164_164_1_T-BR2PC9,164,1,BR2PC9,2,12.031628,-11.690287,7,7.288996,121,0.355371901,0.12849162,4.029786778,0.999418139
ROUND-01-164_164_0_T-P8KGYM,164,1,P8KGYM,2,12.866403,-10.739214,11,6.715556,152,0.388157895,0.150837989,4.137304048,0.999605
ROUND-01-164_164_1_T-DG0YZT,164,1,DG0YZT,4,11.27889,-12.056658,8,8.07536,150,0.446666667,0.167597765,4.26278414,0.999784291
ROUND-01-164_164_0_T-ZLLI3X,164,1,ZLLI3X,1,12.885574,-10.473516,15,6.397346,147,0.346938776,0.122905028,4.06968485,0.999746382
ROUND-01-164_164_0_T-AB0X0J,164,1,AB0X0J,4,4.914313,-16.444277,1,10.674013,147,0.537414966,0.17877095,4.021999197,0.991729796
ROUND-01-164_164_0_T-XK862E,164,1,XK862E,3,12.393593,-11.051233,12,7.0255384,150,0.54,0.173184358,3.934762932,0.999396205
ROUND-01-164_164_1_T-XQA8NS,164,1,XQA8NS,3,13.3615055,-9.843432,17,5.466973,125,0.344,0.12849162,3.866920846,0.999813974
